<META>
author:Youppie Arliansyah
email:youppie@gmail.com
tanggal_dibuat:2010-11-17
nama_file:wilayah.txt
deskripsi:Data Wilayah (Propinsi, Kabupaten, Kecamatan) Indonesia, sumber data diambil dari sumbangan Wida Sari dari file group ID-PHP
kegunaan:Demo
lokasi:data/wilayah.txt
primary_key:kode_wilayah
sifat_tabel:master;hirarki
62.03.08.0000;BASARANG
62.03.09.0000;MANTANGAI
62.03.10.0000;TIMPAH
62.03.11.0000;KAPUAS TENGAH
62.03.12.0000;KAPUAS HULU
62.04.01.0000;JENAMAS
62.04.02.0000;DUSUN HILIR
62.04.03.0000;KARAU KUALA
62.04.04.0000;DUSUN UTARA
62.04.05.0000;GUNUNG BINTANG AWAI
62.04.06.0000;DUSUN SELATAN
62.05.01.0000;MONTALAT
62.05.02.0000;GUNUNG TIMANG
62.05.03.0000;GUNUNG PUREI
62.05.04.0000;TEWEH TIMUR
62.05.05.0000;TEWEH TENGAH
62.05.06.0000;LAHEI
62.06.01.0000;KAMIPANG
62.06.02.0000;KATINGAN HILIR
62.06.03.0000;TEWANG SANGALANG GARING
62.06.04.0000;PULAU MALAN
62.06.05.0000;KATINGAN TENGAH
62.06.06.0000;SANAMAN MANTIKEI
62.06.07.0000;MARIKIT
62.06.08.0000;KATINGAN HULU
62.06.09.0000;MENDAWAI
62.06.10.0000;KATINGAN KUALA
62.06.11.0000;TASIKPAYAWAN
62.07.01.0000;SERUYAN HILIR
62.07.02.0000;SERUYAN TENGAH
62.07.03.0000;DANAU SEMBULUH
62.07.04.0000;HANAU
62.07.05.0000;SERUYAN HULU
62.08.01.0000;SUKAMARA
62.08.02.0000;J E L A I
62.08.03.0000;BALAI RIAM
62.09.01.0000;LAMANDAU
62.09.02.0000;DELANG
62.09.03.0000;B U L I K
62.10.01.0000;SEPANG
62.10.02.0000;K U R U N
62.10.03.0000;T E W A H
62.10.04.0000;KAHAYAN HULU UTARA
62.10.05.0000;RUNGAN
62.10.06.0000;MANUHING
62.11.01.0000;PANDIH BATU
62.11.02.0000;KAHAYAN KUALA
62.11.03.0000;KAHAYAN TENGAH
62.11.04.0000;BANAMA TINGANG
62.11.05.0000;KAHAYAN HILIR
62.11.06.0000;MALIKU
62.12.01.0000;MURUNG
62.12.02.0000;TANAH SIANG
62.12.03.0000;LAUNG TUHUP
62.12.04.0000;PERMATA INTAN
62.12.05.0000;SUMBER BARITO
62.13.01.0000;DUSUN TIMUR
62.13.02.0000;BANUA LIMA
62.13.03.0000;PATANGKEP TUTUI
62.13.04.0000;AWANG
62.13.05.0000;DUSUN TENGAH
62.13.06.0000;PEMATANG KARAU
62.71.01.0000;PAHANDUT
62.71.02.0000;BUKIT BATU
62.71.03.0000;JEKAN RAYA
62.71.04.0000;SABANGAU
62.71.05.0000;RAKUMPIT
18.01.02.0000;KEDONDONG
18.01.03.0000;GEDUNG TATAAN
18.01.04.0000;NATAR
18.01.05.0000;TANJUNG BINTANG
18.01.06.0000;KALIANDA
18.01.07.0000;SIDOMULYO
18.01.08.0000;KATIBUNG
18.01.09.0000;PENENGAHAN
18.01.10.0000;PALAS
18.01.11.0000;NEGERI KATON
18.01.12.0000;TEGINENENG
18.01.13.0000;JATI AGUNG
18.01.14.0000;KETAPANG
18.01.15.0000;S R A G I
18.01.16.0000;RAJABASA
18.01.17.0000;CANDIPURO
18.01.18.0000;MERBAU MATARAM
18.01.19.0000;WAY LIMA
18.01.20.0000;PUNDUH PIDADA
18.02.01.0000;KALIREJO
18.02.02.0000;BANGUN REJO
18.02.03.0000;PADANG RATU
18.02.04.0000;GUNUNG SUGIH
18.02.05.0000;TRIMURJO
18.02.06.0000;PUNGGUR
18.02.07.0000;TERBANGGI BESAR
18.02.08.0000;SEPUTIH RAMAN
18.02.09.0000;RUMBIA
18.02.10.0000;SEPUTIH BANYAK
18.02.11.0000;SEPUTIH MATARAM
18.02.12.0000;SEPUTIH SURABAYA
18.02.13.0000;TERUSAN NUNYAI
18.02.14.0000;BUMI RATU NUBAN
18.02.15.0000;B  E  K  R  I
18.02.16.0000;SEPUTIH AGUNG
18.02.17.0000;WAY PENGUBUAN
18.02.18.0000;BANDAR MATARAM
18.02.19.0000;P U B I A N
18.02.20.0000;SELAGAI LINGGA
18.02.21.0000;ANAK TUHA
18.02.22.0000;SENDANG AGUNG
18.02.23.0000;KOTA GAJAH
18.02.24.0000;BUMI NABUNG
18.02.25.0000;WAY SEPUTIH
18.02.26.0000;BANDAR SURABAYA
18.03.01.0000;BUKIT KEMUNING
18.03.02.0000;KOTA BUMI
18.03.03.0000;SUNGKAI SELATAN
18.03.04.0000;TANJUNG RAJA
18.03.05.0000;ABUNG TIMUR
18.03.06.0000;ABUNG BARAT
18.03.07.0000;ABUNG SELATAN
18.03.08.0000;SUNGKAI UTARA
18.03.09.0000;KOTABUMI UTARA
18.03.10.0000;KOTABUMI SELATAN 
18.03.11.0000;ABUNG TENGAH
18.03.12.0000;ABUNG TINGGI
18.03.13.0000;ABUNG SEMULI
18.03.14.0000;ABUNG SURAKARTA
18.03.15.0000;MUARA SUNGKAI
18.03.16.0000;BUNGA MAYANG
18.04.01.0000;PESISIR SELATAN
18.04.02.0000;PESISIR TENGAH
18.04.03.0000;PESISIR UTARA
18.04.04.0000;BALIK BUKIT
18.04.05.0000;SUMBER JAYA
18.04.06.0000;BELALAU
18.04.07.0000;WAYTENONG
18.04.08.0000;SEKINCAU
18.04.09.0000;S  U  O  H
18.04.10.0000;BATU BRAK
18.04.11.0000;S  U  K  A  U
18.04.12.0000;KARYA PENGGAWA
18.04.13.0000;L E M O N G
18.04.14.0000;BENGKUNAT
18.05.01.0000;MESUJI
18.05.02.0000;MENGGALA
18.05.03.0000;TULANGBAWANG TENGAH
18.05.04.0000;TULANG BAWANG UDIK
18.05.05.0000;SIMPANG PEMATANG
18.05.06.0000;GEDUNG AJI
18.05.07.0000;GUNUNG TERANG
18.05.08.0000;BANJAR AGUNG
18.05.09.0000;WAY SERDANG
18.05.10.0000;TANJUNG RAYA
18.05.11.0000;GEDUNG MENENG
18.05.12.0000;RAWAJITU SELATAN
18.05.13.0000;PENAWAR TAMA
18.05.14.0000;RAWA JITU UTARA
18.05.15.0000;LAMBU KIBANG
18.05.16.0000;TUMI JAJAR
18.06.01.0000;KOTA AGUNG
18.06.02.0000;TALANG PADANG
18.06.03.0000;WONOSOBO
18.06.04.0000;PULAU PANGGUNG
18.06.05.0000;PAGELARAN
18.06.06.0000;PRING SEWU
18.06.07.0000;SUKOHARJO
18.06.08.0000;PARDASUKA
18.06.09.0000;CUKUH BALAK
18.06.10.0000;GADINGREJO
18.06.11.0000;PUGUNG
18.06.12.0000;SEMAKA
18.06.13.0000;SUMBER REJO
18.06.14.0000;ADILUWIH
18.06.15.0000;ULU BELU
18.06.16.0000;PEMATANG SAWA
18.06.17.0000;KELUMBAYAN
18.07.01.0000;SUKADANA
18.07.02.0000;LABUHAN MARINGGAI
18.07.03.0000;JABUNG
18.07.04.0000;PEKALONGAN
18.07.05.0000;SEKAMPUNG
18.07.06.0000;BATANG HARI
18.07.07.0000;WAY JEPARA
18.07.08.0000;PURBOLINGGO
18.07.09.0000;RAMAN UTAMA
18.07.10.0000;METRO KIBANG
18.07.11.0000;MARGA TIGA
18.07.12.0000;SEKAMPUNG UDIK
18.07.13.0000;BATANGHARI NUBAN
18.07.14.0000;BUMI AGUNG
18.07.15.0000;BANDAR SRIBHAWONO
18.07.16.0000;MATARAM BARU
18.07.17.0000;M E L I N T I N G
18.07.18.0000;GUNUNG PELINDUNG
18.07.19.0000;PASIR SAKTI
18.07.20.0000;WAWAY KARYA
18.07.21.0000;LABUHAN RATU
18.07.22.0000;BRAJA SELEBAH
18.07.23.0000;WAY BUNGUR
18.08.01.0000;BLAMBANGAN UMPU
18.08.02.0000;KASUI
18.08.03.0000;BANJIT
18.08.04.0000;BARADATU
18.08.05.0000;BAHUGA
18.08.06.0000;PAKUAN RATU 
18.08.07.0000;NEGERI AGUNG
18.08.08.0000;WAY TUBA
18.08.09.0000;REBANG TANGKAS
18.08.10.0000;GUNUNG LABUHAN
18.08.11.0000;NEGARA BATIN
18.08.12.0000;NEGERI BESAR
18.71.01.0000;KEDATON
18.71.02.0000;SUKARAME
18.71.03.0000;TANJUNGKARANG BARAT
18.71.04.0000;PANJANG
18.71.05.0000;TANJUNGKARANG TIMUR
18.71.06.0000;TANJUNGKARANG PUSAT
18.71.07.0000;TELUKBETUNG SELATAN
18.71.08.0000;TELUKBETUNG BARAT
18.71.09.0000;TELUKBETUNG UTARA
18.71.10.0000;RAJA BASA
18.71.11.0000;TANJUNG SENANG
18.71.12.0000;SUKABUMI
18.71.13.0000;KEMILING
18.72.01.0000;METRO PUSAT
18.72.02.0000;METRO UTARA
18.72.03.0000;METRO BARAT
18.72.04.0000;METRO TIMUR
18.72.05.0000;METRO  SELATAN
18.01.01.0000;PADANG CERMIN
73.01.01.0000;PASIMASUNGGU 
73.01.02.0000;PASIMARANNU
73.01.03.0000;BONTOSIKUYU
73.01.04.0000;BONTOHARU 
73.01.05.0000;BONTOMATENE
73.01.06.0000;BONTOMANAI
73.01.07.0000;BENTENG
73.01.08.0000;TAKA BONERATE
73.01.09.0000;PASILAMBENA
73.02.01.0000;GANGKING
73.02.02.0000;UJUNG BULU
73.02.03.0000;BONTO BAHARI
73.02.04.0000;BONTO TIRO
73.02.05.0000;HERLANG
73.02.06.0000;KAJANG
73.02.07.0000;BULUKUMPA
73.02.08.0000;KINDANG
73.02.09.0000;UJUNGLOE
73.02.10.0000;RILAUALE
73.03,05.0000;PA'JUKUKANG
73.03.01.0000;BISSAPPU
73.03.02.0000;BANTAENG
73.03.03.0000;EREMERASA
73.03.04.0000;TOMPO BULU
73.03.06.0000;ULUERE
73.04.01.0000;BANGKALA
73.04.02.0000;TAMALATEA
73.04.03.0000;BINAMU
73.04.04.0000;BATANG
73.04.05.0000;KELARA
73.04.06.0000;BANGKALA BARAT
73.04.07.0000;BONTORAMBA
73.04.08.0000;TURATEA
73.04.09.0000;ARUNGKEKE
73.05.01.0000;MAPPAKA SUNGGU
73.05.02.0000;MANGARA BOMBANG
73.05.03.0000;POLOM BANGKENG SELATAN
73.05.04.0000;POLOM BANGKENG UTARA
73.05.05.0000;GALESONG SELATAN
73.05.06.0000;GALESONG UTARA
73.05.07.0000;PATTALASSANG
73.06.01.0000;MAIWA ATAS
73.06.02.0000;BAJENG
73.06.03.0000;TOMPO BULU
73.06.04.0000;TINGGI MONCONG
73.06.05.0000;PARANGLOE
73.06.06.0000;BONTO MARANNU
73.06.08.0000;SOMBA OPU
73.06.09.0000;BUNGAYA
73.06.10.0000;TOMBOLO PAO
73.06.11.0000;BIRING BULU
73.06.12.0000;BAROMBONG
73.07.01.0000;SINJAI BARAT
73.07.02.0000;SINJAI SELATAN 
73.07.03.0000;SINJAI TIMUR
73.07.04.0000;SINJAI TENGAH
73.07.05.0000;SINJAI UTARA
73.07.06.0000;BULUPODDO
73.07.07.0000;SINJAI BORONG
73.07.08.0000;TELLU LIMPOE
73.08.01.0000;BONTOCANI
73.08.02.0000;K  A  H  U
73.08.03.0000;KAJUARA
73.08.04.0000;SALOMEKKO
73.08.05.0000;TONRA
73.08.06.0000;LIBURENG
73.08.07.0000;MARE
73.08.08.0000;SIBULUE
73.08.09.0000;BAREBBO
73.08.10.0000;CINA
73.08.11.0000;PONRE
73.08.12.0000;LAPPARIAJA
73.08.13.0000;LAMURU
73.08.14.0000;ULAWENG 
73.08.15.0000;PALAKKA
73.08.16.0000;AWANGPONE
73.08.17.0000;TELLU SIATTINGE
73.08.18.0000;AJANGALE
73.08.19.0000;DUA BOCCOE
73.08.20.0000;CENRANA
73.08.21.0000;TANETE RIATTANG
73.08.22.0000;TANETE RIATTANG BARAT
73.08.23.0000;TANETE RIATTANG TIMUR
73.08.24.0000;AMALI
73.08.25.0000;TELLULIMPOE
73.08.26.0000;BENGO
73.08.27.0000;PATIMPENG
73.09.01.0000;MANDAI
73.09.02.0000;CAMBA
73.09.03.0000;BANTIMURUNG
73.09.04.0000;MAROS BARU
73.09.05.0000;BONTOA
73.09.06.0000;MALLAWA
73.09.07.0000;TANRALILI
73.09.08.0000;MARUSU
73.09.09.0000;S I M B A N G
73.09.10.0000;CENRANA
73.09.11.0000;TOMPOBULU
73.09.12.0000;L  A  U
73.09.13.0000;MONCONG LOE
73.09.14.0000;TURIKALE
73.10.01.0000;LIUKANG TANGAYA
73.10.02.0000;LIUKANG KALMAS
73.10.03.0000;LIUKANG TUPABRING
73.10.04.0000;PANGKAJENE
73.10.05.0000;BALOCCI
73.10.06.0000;BUNGORO
73.10.07.0000;LABAKKANG
73.10.08.0000;MARANG
73.10.09.0000;SEGERI 
73.10.10.0000;MINASA TE'NE
73.10.11.0000;MANDALLE
73.10.12.0000;TONDONG TALLASA
73.11.01.0000;TANETE RIAJA
73.11.02.0000;TANETE RILAU
73.11.03.0000;BARRU
73.11.04.0000;SOPPENG RIAJA
73.11.05.0000;MALLUSETASI
73.11.06.0000;PUJANANTING
73.11.07.0000;BALUSU
73.12.01.0000;MARIORIWAWO
73.12.02.0000;LILIRIAJA
73.12.03.0000;LILIRILAU
73.12.04.0000;LALABATA
73.12.05.0000;MARIORIAWA
73.12.06.0000;DONRI DONRI
73.13.01.0000;SABBANGPARU
73.13.02.0000;PAMMANA
73.13.03.0000;TAKKALALLA
73.13.04.0000;SAJOANGING
73.13.05.0000;MAJAULENG
73.13.06.0000;TEMPE
73.13.07.0000;BELAWA
73.13.08.0000;TANASITOLO
73.13.09.0000;MANIANGPAJO
73.13.10.0000;PITUMPANUA
73.13.11.0000;B O L A
73.13.12.0000;PENRANG
73.13.13.0000;GILIRENG
73.13.14.0000;K E E R A
73.14.01.0000;PANCA LAUTAN
73.14.02.0000;TELLU LIMPOE
73.14.03.0000;WATANG PULU
73.14.04.0000;BARANTI
73.14.05.0000;PANCA RIJANG
73.14.06.0000;K U L O
73.14.07.0000;MARITENGNGAE
73.14.08.0000;SIDENRENG
73.14.09.0000;DUA PITUE
73.14.10.0000;PITU RIAWA
73.14.11.0000;PITU RIASE
73.15,02.0000;SUPPA
73.15.01.0000;MATTIRO SOMPE
73.15.03.0000;MATTIRO BULU
73.15.04.0000;WATANG SAWITTO
73.15.05.0000;PATAM PANUA
73.15.06.0000;DUAMPANUA
73.15.07.0000;LEMBANG
73.15.08.0000;CEMPA
73.15.09.0000;TIROANG
73.15.10.0000;LANRISANG
73.15.11.0000;PALETEANG
73.15.12.0000;BATULAPPA
73.16.01.0000;MAIWA
73.16.02.0000;ENREKANG
73.16.03.0000;BARAKA
73.16.04.0000;ANGGERAJA
73.16.05.0000;ALLA
73.16.07.0000;ENREKANG SELATAN
73.16.08.0000;ALLA TIMUR
73.16.09.0000;ANGGERAJA TIMUR
73.17.01.0000;BASTEM
73.17.02.0000;LAROMPONG
73.17.03.0000;SULI
73.17.04.0000;BAJO
73.17.05.0000;BUA PONRANG
73.17.06.0000;WALENRANG
73.17.07.0000;BELOPA
73.17.08.0000;BUA
73.17.09.0000;LAMASI
73.17.10.0000;LAROMPONG SELATAN
73.17.11.0000;PONRANG
73.17.12.0000;LATIMOJONG
73.17.13.0000;KAMANRE
73.18.01.0000;SALUPUTTI
73.18.02.0000;BITTUANG
73.18.03.0000;BONGGAKARADENG
73.18.04.0000;SANGGALANGI
73.18.05.0000;MAKALE
73.18.06.0000;SESEAN
73.18.07.0000;TONDON NANGGALA
73.18.08.0000;BUNTAO'RANTEBUA
73.18.09.0000;SIMBUANG
73.18.10.0000;RINDINGALLO
73.18.11.0000;RANTETAYO
73.18.12.0000;MENGKENDEK
73.18.13.0000;SANGGALLA
73.18.14.0000;SA'DAN BALUSU
73.18.15.0000;RANTEPAO
73.19.01.0000;TINAMBUNG
73.19.02.0000;CAMPALAGIAN
73.19.03.0000;WONOMULYO
73.19.04.0000;POLEWALI
73.19.05.0000;TUTALLU
73.19.06.0000;BINUANG
73.19.07.0000;TAPANGO
73.19.08.0000;MAPILLI
73.19.09.0000;MATANGNGA
73.19.10.0000;LUYO
73.19.11.0000;LIMBORO
73.19.12.0000;BALANIPA
73.19.13.0000;ANREAPI
73.19.14.0000;MATAKALI
73.19.15.0000;A L L U
73.20.01.0000;BANGGAE
73.20.02.0000;PAMBOANG
73.20.03.0000;SENDANA
73.20.04.0000;MALUNDA
73.21.01.0000;MAMUJU
73.21.02.0000;TAPALANG
73.21.03.0000;KALUKKU
73.21.04.0000;KALUMPANG
73.21.05.0000;BUDONG BUDONG
73.21.06.0000;PANGALE
73.21.07.0000;PAPALANG
73.21.08.0000;SAMPAGA
73.21.09.0000;TOPOYO
73.21.10.0000;KAROSSA
73.21.11.0000;TOMMO
73.22.01.0000;MALANGKE
73.22.02.0000;BONE BONE
73.22.03.0000;MASAMBA
73.22.04.0000;SABBANG
73.22.05.0000;LIMBONG
73.22.06.0000;SUKAMAJU
73.22.07.0000;SEKO
73.22.08.0000;MALANGKE BARAT
73.22.09.0000;RAMPI
73.22.10.0000;MAPPEDECENG
73.22.11.0000;BAEBUNTA
73.23.01.0000;MAMBI
73.23.02.0000;ARALLE
73.23.03.0000;MAMASA
73.23.04.0000;PANA
73.23.05.0000;TABULAHAN
73.23.06.0000;SUMARORONG
73.23.07.0000;MESSAWA
73.23.08.0000;SESENA PADANG
73.23.09.0000;TANDUK KALUA
73.23.10.0000;TABANG
73.24.01.0000;MANGKUTANA
73.24.02.0000;NUHA
73.24.03.0000;TOWUTI
73.24.04.0000;MALILI
73.24.05.0000;ANGKONA
73.24.06.0000;WOTU
73.24.07.0000;BURAU
73.24.08.0000;TOMONI
73.25.01.0000;BAMBALAMOTU
73.25.02.0000;PASANGKAYU
73.25.03.0000;BARAS
73.25.04.0000;SARUDU
73.71.01.0000;MARISO
73.71.02.0000;MAMAJANG
73.71.03.0000;MAKASSAR
73.71.04.0000;UJUNG PANDANG
73.71.05.0000;WAJO
73.71.06.0000;BONTOALA
73.71.07.0000;TALLO
73.71.08.0000;UJUNG TANAH
73.71.09.0000;PANAKKUKANG
73.71.10.0000;TAMALATE
73.71.11.0000;BIRING KANAYA
73.71.12.0000;MANGGALA
73.71.13.0000;RAPPOCINI
73.71.14.0000;TAMALANREA
73.72.01.0000;BACUKIKI
73.72.02.0000;UJUNG
73.72.03.0000;SOREANG
73.73.01.0000;W A R A
73.73.02.0000;WARA UTARA
73.73.03.0000;WARA SELATAN
73.73.04.0000;TELLU WANUA
71.01.01.0000;PINOGALUMAN
71.01.02.0000;KAIDIPANG
71.01.03.0000;BOLAANG ITANG
71.01.04.0000;BINATAUNA
71.01.05.0000;SANGTOMBOLANG
71.01.06.0000;POSIGADAN
71.01.07.0000;BOLAANG UKI
71.01.08.0000;PINOLOSIAN
71.01.09.0000;DUMOGA  BARAT
71.01.10.0000;DUMOGA TIMUR
71.01.11.0000;DUMOGA UTARA
71.01.12.0000;LOLAK
71.01.13.0000;BOLAANG
71.01.14.0000;LOLAYAN
71.01.15.0000;KOTABUNAN
71.01.16.0000;NUANGAN
71.01.17.0000;KOTAMOBAGU
71.01.18.0000;MODAYAG
71.01.19.0000;P A S S I
71.01.20.0000;POIGAR
71.02.01.0000;TONDANO  BARAT
71.02.02.0000;TONDANO TIMUR
71.02.03.0000;ERIS
71.02.04.0000;KOMBI
71.02.05.0000;LEMBEAN TIMUR
71.02.06.0000;KAKAS
71.02.07.0000;TOMPASO  
71.02.08.0000;REMBOKEN
71.02.09.0000;LANGOWAN TIMUR
71.02.10.0000;LANGOWAN BARAT
71.02.11.0000;SONDER
71.02.12.0000;KAWANGKOAN
71.02.13.0000;PINELENG
71.02.14.0000;TOMBULU
71.02.15.0000;TOMBARIRI
71.03.01.0000;TAGULANDANG
71.03.02.0000;TAGULANDANG UTARA
71.03.03.0000;B I A R O
71.03.04.0000;SIAU TIMUR
71.03.05.0000;SIAU TIMUR SELATAN
71.03.06.0000;SIAU BARAT
71.03.07.0000;SIAU BARAT SELATAN
71.03.08.0000;TABUKAN UTARA
71.03.09.0000;NUSA TABUKAN
71.03.10.0000;MANGANITU SELATAN
71.03.11.0000;TATOARENG
71.03.12.0000;TAMAKO
71.03.13.0000;MANGANITU
71.03.14.0000;TABUKAN TANGAH
71.03.15.0000;TABUKAN SELATAN
71.03.16.0000;KENDAHE
71.03.17.0000;TAHUNA
71.04.01.0000;LIRUNG
71.04.02.0000;B   E  O
71.04.03.0000;RAINIS
71.04.04.0000;ESSANG
71.04.05.0000;NANUSA
71.04.06.0000;KABARUAN
71.04.07.0000;MELONGUANE
71.05.01.0000;MODOINDING
71.05.02.0000;TOMPASO BARU
71.05.03.0000;RANOYAPO
71.05.04.0000;BELANG
71.05.05.0000;TOMBATU
71.05.06.0000;TOLUAAN
71.05.07.0000;MOTOLING
71.05.08.0000;SINONSAYANG
71.05.09.0000;TENGA
71.05.10.0000;TOMBASIAN
71.05.11.0000;RATAHAN
71.05.12.0000;TUMPAAN
71.05.13.0000;TARERAN
71.06.01.0000;K  E  M  A
71.06.02.0000;KAUDITAN
71.06.03.0000;AIRMADIDI
71.06.04.0000;W  O  R  I
71.06.05.0000;DIMEMBE
71.06.06.0000;LIKUPANG BARAT
71.06.07.0000;LIKUPANG TIMUR
71.06.08.0000; KALAWAT
71.71.01.0000;BUNAKEN
71.71.02.0000;TUMINTING
71.71.03.0000;SINGKIL
71.71.04.0000;WENANG
71.71.05.0000;TIKALA
71.71.06.0000;SARIO
71.71.07.0000;W A N E A
71.71.08.0000;MAPANGET
71.71.09.0000;MALALAYANG
71.72.01.0000;BITUNG SELATAN
71.72.02.0000;BITUNG TENGAH
71.72.03.0000;BITUNG UTARA
71.72.04.0000;BITUNG TIMUR
71.73.01.0000;TOMOHON SELATAN
71.73.02.0000;TOMOHON TENGAH
71.73.03.0000;TOMOHON UTARA
13.01.01.0000;PANCUNG SOAL
13.01.02.0000;RANAH PESISIR
13.01.03.0000;LENGAYANG 
13.01.04.0000;BATANG KAPAS
13.01.05.0000;IV JURAI
13.01.06.0000;BAYANG
13.01.07.0000;KOTO IX TARUSAN
13.01.08.0000;SUTERA
13.01.09.0000;LINGGO SARI BAGANTI
13.01.10.0000;LUNANG SILAUT
13.01.11.0000;BASA IV BALAI TAPAN
13.02.03.0000;PANTAI CERMIN
13.02.04.0000;LEMBAH GUMANTI
13.02.05.0000;PAYUNG SEKAKI
13.02.06.0000;LEMBANG JAYA
13.02.07.0000;GUNUNG TALANG
13.02.08.0000;BUKIT SUNDI
13.02.09.0000;IX KOTO SEI LASI
13.02.10.0000;KUBUNG
13.02.11.0000;X KOTO SINGKARAK
13.02.12.0000;X  KOTO  DIATAS
13.02.13.0000;JUNJUNG SIRIH
13.02.17.0000;HILIRAN GUMANTI
13.02.18.0000;TIGO LURAH BAJANJANG
13.02.19.0000;DANAU KEMBAR
13.03.01.0000;TANJUNG GADANG
13.03.02.0000;SIJUNJUNG
13.03.03.0000;IV NAGARI
13.03.04.0000;KAMANG BARU
13.03.05.0000;LUBUK TAROK
13.03.06.0000;KOTO   VII
13.03.07.0000;SUMPUR KUDUS
13.03.08.0000;KUPITAN
13.10.01.0000;KOTO BARU
13.10.02.0000;PULAU PUNJUNG
13.10.03.0000;SUNGAI RUMBAI
13.10.04.0000;SITIUNG
13.04.01.0000;X KOTO
13.04.02.0000;BATIPUH
13.04.03.0000;RAMBATAN
13.04.04.0000;LIMA KAUM
13.04.05.0000;TANJUNG EMAS
13.04.06.0000;LINTAU BUO
13.04.07.0000;SUNGAYANG
13.04.08.0000;SUNGAI TARAB
13.04.09.0000;PARIANGAN
13.04.10.0000;SALIMPAUNG
13.04.11.0000;PADANG GANTING
13.04.12.0000;TANJUNG BARU
13.04.13.0000;LINATU BUO UTARA
13.04.14.0000;BATIPUH SELATAN
13.05.01.0000;LUBUK ALUNG
13.05.02.0000;BATANG ANAI
13.05.03.0000;NAN SABARIS
13.05.04.0000;2 X 11 KAYU TANAM
13.05.05.0000;VII KOTO 
13.05.06.0000;V KOTO KAMP.DALAM
13.05.07.0000;SUNGAI GARINGGING
13.05.08.0000;SUNGAI LIMAU
13.05.09.0000;IV KOTO AUR MALINTANG
13.05.10.0000;ULAKAN TAPAKIH
13.05.11.0000;SINTUK TOBOH GADANG
13.05.12.0000;PADANG SAGO
13.05.13.0000;BATANG GASAN
13.05.14.0000;V  KOTO TIMUR
13.05.15.0000;2 X 11 ENAM LINGKUNG
13.05.16.0000;PATAMUAN
16.05.12.0000;MEGANG SAKTI
16.05.13.0000;PURWODADI
16.05.14.0000;BTS. ULU
16.05.15.0000;KARANG JAYA
16.05.16.0000;N I B U N G
16.05.17.0000;KARANG DAPO
16.06.01.0000;SEKAYU
16.06.02.0000;L   A   I   S
16.06.03.0000;SUNGAI KERUH
16.06.04.0000;BTG. HARI LEKO
16.06.05.0000;SANGA DESA
16.06.06.0000;BABAT TOMAN
16.06.07.0000;SUNGAI LILIN
16.06.08.0000;KELUANG
16.06.09.0000;BAYUNG LENCIR
16.07.01.0000;BANYUASIN     I
16.07.02.0000;BANYUASIN    II
16.07.03.0000;BANYUASIN   III
16.07.04.0000;PULAU RIMAU
16.07.05.0000;B E T U N G
16.07.06.0000;RAMBUTAN
16.07.07.0000;MUARA PADANG
16.07.08.0000;MUARA TELANG
16.07.09.0000;MAKARTI JAYA
16.07.10.0000;TALANG KELAPA
16.07.11.0000;RANTAU BAYUR
16.08.01.0000;CEMPAKA
16.08.02.0000;MARTAPURA
16.08.03.0000;BUAY MADANG
16.08.04.0000;BELITANG
16.08.05.0000;BUAI PEMUKA PELIUNG
16.08.06.0000;MADANG SUKU  II
16.08.07.0000;MADANG SUKU   I
16.08.08.0000;SEMENDAWAI SUKU   III
16.08.09.0000;BELITANG   II
16.08.10.0000;BELITANG   III
16.09.01.0000; MUARA DUA
16.09.02.0000;PULAU BERINGIN
16.09.03.0000;BANDING AGUNG
16.09.04.0000;MUARA DUA KISAM
16.09.05.0000;SIMPANG
16.09.06.0000;BUAY SANDANG AJI
16.09.07.0000;BUAY RUNJUNG
16.09.08.0000;MEKAKAU ILIR
16.09.09.0000;BUAY PEMACA
16.09.10.0000;KISAM TINGGI
16.10.01.0000;MUARA KUANG
16.10.02.0000;TANJUNG BATU
16.10.03.0000;TANJUNG RAJA
16.10.04.0000;INDRALAYA
16.10.05.0000;PEMULUTAN
16.10.06.0000;RANTAU ALAI
16.71.01.0000;ILIR BARAT    II
16.71.02.0000;SEBERANG ULU   I
16.71.03.0000;SEBERANG ULU   II
16.71.04.0000;ILIR BARAT   I
16.71.05.0000;ILIR  TIMUR   I
16.71.06.0000;ILIR TIMUR   II
16.71.07.0000;SUKARAMI
16.71.08.0000;S  A  K  O
16.71.09.0000;KEMUNING
16.71.10.0000;KALIDONI
16.71.11.0000;BUKIT KECIL
16.71.12.0000;GANDUS
16.71.13.0000;KERTAPATI
16.71.14.0000;P L A J U
16.72.01.0000;PAGAR ALAM UTARA
16.72.02.0000;PAGAR ALAM SELATAN
16.72.03.0000;DEMPO UTARA
16.72.04.0000;DEMPO SELATAN
16.72.05.0000;DEMPO TENGAH
16.73.01.0000;LUBUK LINGGAU TIMUR
16.73.02.0000;LUBUK LINGGAU BARAT
16.73.03.0000;LUBUK LINGGAU SELATAN
16.73.04.0000;LUBUK LINGGAU UTARA
16.74.01.0000;PRABUMULIH BARAT
16.74.02.0000;PRABUMULIH TIMUR
16.74.03.0000;CAMBAI
16.74.04.0000;RAMBANG KAPAK TENGAH
72.01.01.0000;B A T U I
72.01.02.0000;BUNTA
72.01.03.0000;KINTOM
72.01.04.0000;LUWUK
72.01.05.0000;LAMALA
72.01.06.0000;BALANTAK
72.01.07.0000;PAGIMANA
72.01.08.0000;BUALEMO
